階層1,階層2,階層3,建屋,階,部屋名,部署,"分電盤
No."
L33-1A,,,3-3,1.0,玄関,共通,20
M33-1A,,,3-3,1.0,玄関,共通,24
M33-1W,M33-1W-1盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1W,排気ﾌｧﾝ操作盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1W,ﾎﾙﾀﾞ測定室分電盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,3
M33-1H(左),電源盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(左),動力盤B,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(左),動力盤C,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,18
M33-1H(右),,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,14
M33-1I,ﾌｧﾝ制御盤,,3-3,1.0,ﾎﾙﾀﾞ回転加工室,ﾎﾙﾀﾞ,2
M33-1G,,,3-3,1.0,ﾎﾙﾀﾞ加工室,ﾎﾙﾀﾞ,17
M33-1J,,,3-3,1.0,ﾎﾙﾀﾞ加工室,ﾎﾙﾀﾞ,
M33-1K,M33-1K-1,,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1
M33-1K,空調ｴｱﾊﾝ運転盤,,3-3,1.0,ﾎﾙﾀﾞ材料加工室,ﾎﾙﾀﾞ,1
工具1F動力M-1(左),M33-1J-1(1),恒温ﾌﾞｰｽ用動力盤,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,29
工具1F動力M-2(中),M33-1J-1(2),,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,19
工具1F動力M-3(右),,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,30
M33-1B,M33-1B-1,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,ﾎﾙﾀﾞ,21
L33-1B,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,,7
動力盤D,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室,ﾎﾙﾀﾞ,
M33-1L,,,3-3,1.0,ﾎﾙﾀﾞ旋削加工室→原料集中制御室,原料,8
M33-1N(A),,,3-3,1.0,原料集中制御室,原料,5
M33-1N(B),,,3-3,1.0,原料集中制御室,原料,6
M33-1F,,,3-3,1.0,集塵機室,CBN,37
1L-1,,,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,
1M-1,動力盤1M-1-1,,3-3,1.0,ﾎﾙﾀﾞ後処理室,ﾎﾙﾀﾞ,
L33-2A(左),,,3-3,2.0,廊下,CBN,22
L33-2A(左),,,3-3,2.0,廊下,CBN,22
L33-2A(右),,,3-3,2.0,廊下,共通,22
L33-2A(右),,,3-3,2.0,廊下,CBN,22
M33-2A,,,3-3,2.0,廊下,CBN,25
L33-2E,,,3-3,2.0,自販機室,CBN,27
M33-2F,洗浄機盤,,3-3,2.0,CBN加工室,CBN,9~13
M33-2F,排熱ﾀﾞｸﾄ盤,,3-3,2.0,CBN加工室,CBN,9~13
M33-2F,動力分電盤,,3-3,2.0,CBN加工室,CBN,9~13
局所排気設備制御盤電源盤,局所排気設備制御盤,,3-3,2.0,CBN加工室,CBN,9~13
ﾀﾞｸﾄﾌｧﾝ操作盤,,,3-3,2.0,CBN加工室,CBN,9~13
ﾜｲﾔｰ加工電源盤,,,3-3,2.0,CBN加工室,CBN,9~13
PAC-1,,,3-3,2.0,空調機･梱包材室,CBN,9~13
2L-1,,,3-3,2.0,CBN事務所,CBN,
L33-3A,,,3-3,3.0,廊下,,23
M33-3A,,,3-3,3.0,廊下,,26
L33-3(検査),,,3-3,3.0,ﾎﾙﾀﾞﾊﾟｰﾂ室,,35
M33-31(NT),,,3-3,3.0,再研磨MT室,,34
M33-31(NT),,,3-3,3.0,再研磨MT室,品証,34
M33-3(再研),M33-3-1(再研),,3-3,3.0,ｿﾘｯﾄﾞ検査室/QA,,33
3L-1,,,3-3,3.0,ﾎﾙﾀﾞ梱包室,,
M33-3B,,,3-3,3.0,機構廊下,,4
ML33-4A,,,3-3,4.0,KCCS事務所,,
M33-4D,,,3-3,4.0,屋上,,28
工具EHP→工具空調機動力盤,,,3-3,4.0,機械室(施錠)→屋上,,36
工具電灯関係,,,3-3,4.0,機械室(施錠),,16
熱源制御盤,,,3-3,4.0,機械室,,
L-1南側外灯電源盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,1
ML-2,局所排気装置動力盤,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室2,RT,10
環境試験室電源盤-③,空調動力盤,,,,,,
工具ﾚｲｱｳﾄA盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,3
工具ﾚｲｱｳﾄB盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,4
工具M-1,工具M-1-2,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,8
工具M-1,工具FAN制御盤,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,8
工具M-1,局所排気制御盤,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,8
工具L-1,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室1,RT,6
ML-30,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室2,RT,9
SE-3 A盤,動力盤A,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室3,RT,30
工具L-2,,,1-1,1.0,ｿﾘｯﾄﾞ工具事務所,RT,
SE-3 B盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室3,RT,29
手元開閉盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室3,RT,31
電灯盤L-2,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室3,RT,32
ﾚｰｽｳｪｲ分電盤,,,1-1,1.0,ｿﾘｯﾄﾞ工具加工室3,RT,33
電灯盤ML-B,,,,,,,
電灯盤ML-C,,,,,,,
電灯盤ML-D,,,,,,,
